"loading_type","loading_label","roi_name","band_name","condition_name","roi_index","band_index","condition_index","fro_norm","delta_hat","sdest","ci_low","ci_high","excludes_zero","N","rank1","rank2","rank3","cv_mean_val_mse","cv_mean_val_r2","loading_normalization"
"single_element","temporal_left | theta | EO","temporal_left","theta","EO","6","2","2","1","-21.5171948203631","126.093439761558","-33.9207256327943","-9.11366400793188","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","temporal_left | alpha1 | EO","temporal_left","alpha1","EO","6","3","2","1","-4.14303628713784","73.0313836998983","-11.3269708336862","3.04089825941055","0","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","temporal_left | alpha2 | EO","temporal_left","alpha2","EO","6","4","2","1","-3.54987361349498","66.3541773012794","-10.0769862392294","2.97723901223941","0","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","temporal_left | beta1 | EO","temporal_left","beta1","EO","6","5","2","1","19.2853345393686","147.492170056177","4.77685829077416","33.7938107879631","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","temporal_left | beta2 | EC","temporal_left","beta2","EC","6","6","1","1","31.850695865843","168.793829395552","15.2468228347397","48.4545688969464","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","temporal_left | gamma1 | EC","temporal_left","gamma1","EC","6","7","1","1","-99.8133094161624","283.69145435107","-127.719405894464","-71.907212937861","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","temporal_left | gamma2 | EC","temporal_left","gamma2","EC","6","8","1","1","89.6803537415382","176.599451268536","72.3086590728078","107.052048410269","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","temporal_right | delta | EC","temporal_right","delta","EC","7","1","1","1","-37.3435850578151","100.774484165547","-47.2565466029827","-27.4306235126475","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","temporal_right | theta | EC","temporal_right","theta","EC","7","2","1","1","57.2713351440083","149.818799716147","42.5339935180308","72.0086767699858","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","temporal_left | beta2 | EO","temporal_left","beta2","EO","6","6","2","1","-36.5558412913708","176.444202785521","-53.912264512623","-19.1994180701186","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","temporal_left | gamma1 | EO","temporal_left","gamma1","EO","6","7","2","1","101.23020721813","218.352195983719","79.7513880506338","122.709026385626","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","temporal_left | gamma2 | EO","temporal_left","gamma2","EO","6","8","2","1","-79.0535599637416","176.768524731573","-96.4418860124416","-61.6652339150417","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","temporal_right | delta | EO","temporal_right","delta","EO","7","1","2","1","33.7918268469672","110.958966432834","22.8770404657905","44.7066132281439","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","temporal_right | theta | EO","temporal_right","theta","EO","7","2","2","1","-55.6548347505176","153.323559985897","-70.7369318378278","-40.5727376632073","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","temporal_right | alpha1 | EC","temporal_right","alpha1","EC","7","3","1","1","-16.7368158941389","92.7730358454278","-25.8626927902529","-7.61093899802483","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","temporal_right | alpha2 | EC","temporal_right","alpha2","EC","7","4","1","1","19.8971974249853","87.0241800741545","11.3368226662549","28.4575721837157","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","temporal_right | beta1 | EC","temporal_right","beta1","EC","7","5","1","1","-72.0356199732737","165.497236699815","-88.3152145236335","-55.756025422914","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","temporal_right | beta2 | EC","temporal_right","beta2","EC","7","6","1","1","70.7987240668945","181.071588112796","52.9871152579036","88.6103328758853","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","temporal_right | gamma1 | EC","temporal_right","gamma1","EC","7","7","1","1","-51.2536789711272","241.235280973862","-74.9834562399762","-27.5239017022782","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","temporal_right | alpha1 | EO","temporal_right","alpha1","EO","7","3","2","1","15.538207361991","87.6600020482813","6.91528821187737","24.1611265121047","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","temporal_right | alpha2 | EO","temporal_right","alpha2","EO","7","4","2","1","-17.9928964704453","95.603924572328","-27.3972415851841","-8.58855135570648","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","temporal_right | beta1 | EO","temporal_right","beta1","EO","7","5","2","1","81.4901580894126","182.057381586858","63.5815789721064","99.3987372067188","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","temporal_right | beta2 | EO","temporal_right","beta2","EO","7","6","2","1","-76.8525062471718","202.680661864665","-96.7897515097026","-56.9152609846411","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
