loading_type,loading_label,roi_name,band_name,condition_name,roi_index,band_index,condition_index,fro_norm,delta_hat,sdest,ci_low,ci_high,excludes_zero,N,rank1,rank2,rank3,cv_mean_val_mse,cv_mean_val_r2,loading_normalization,excludes_zero_bool
roi_slice,ROI slice: central_left,central_left,,,4.0,,,4.0,-0.610661464551927,4.23414323330648,-1.02716470340302,-0.194158225700835,1,397,2,5,2,8.33496316839579,0.193358413304605,frobenius,True
band_slice,Band slice: theta,,theta,,,2.0,,4.47213595499958,-1.67062558564035,6.46796185146638,-2.30686458641627,-1.03438658486443,1,397,2,5,2,8.33496316839579,0.193358413304605,frobenius,True
band_slice,Band slice: alpha2,,alpha2,,,4.0,,4.47213595499958,1.14234901765695,3.7329144660883,0.775150536214519,1.50954749909938,1,397,2,5,2,8.33496316839579,0.193358413304605,frobenius,True
band_slice,Band slice: beta1,,beta1,,,5.0,,4.47213595499958,0.988733426810523,7.60426114028211,0.240719195954259,1.73674765766679,1,397,2,5,2,8.33496316839579,0.193358413304605,frobenius,True
band_slice,Band slice: gamma1,,gamma1,,,7.0,,4.47213595499958,-1.69234252860258,11.8774684033802,-2.86070263991044,-0.523982417294723,1,397,2,5,2,8.33496316839579,0.193358413304605,frobenius,True
band_slice,Band slice: gamma2,,gamma2,,,8.0,,4.47213595499958,0.988346836662592,8.26271482597131,0.175561983365947,1.80113168995924,1,397,2,5,2,8.33496316839579,0.193358413304605,frobenius,True
shared_band,shared: theta,,theta,shared,,2.0,,3.16227766016838,-1.67062558564035,6.46796185146638,-2.30686458641627,-1.03438658486443,1,397,2,5,2,8.33496316839579,0.193358413304605,frobenius,True
shared_band,shared: alpha2,,alpha2,shared,,4.0,,3.16227766016838,1.14234901765695,3.7329144660883,0.775150536214519,1.50954749909938,1,397,2,5,2,8.33496316839579,0.193358413304605,frobenius,True
shared_band,shared: beta1,,beta1,shared,,5.0,,3.16227766016838,0.988733426810523,7.60426114028211,0.240719195954259,1.73674765766679,1,397,2,5,2,8.33496316839579,0.193358413304605,frobenius,True
shared_band,shared: gamma1,,gamma1,shared,,7.0,,3.16227766016838,-1.69234252860258,11.8774684033802,-2.86070263991044,-0.523982417294723,1,397,2,5,2,8.33496316839579,0.193358413304605,frobenius,True
shared_band,shared: gamma2,,gamma2,shared,,8.0,,3.16227766016838,0.988346836662592,8.26271482597131,0.175561983365947,1.80113168995924,1,397,2,5,2,8.33496316839579,0.193358413304605,frobenius,True
contrast_band,contrast: theta,,theta,contrast,,2.0,,3.16227766016838,-6.08746720303641,28.5067641668636,-8.89161409898143,-3.2833203070914,1,397,2,5,2,8.33496316839579,0.193358413304605,frobenius,True
contrast_band,contrast: alpha1,,alpha1,contrast,,3.0,,3.16227766016838,4.33969442329393,18.6680791741211,2.50335705568007,6.17603179090779,1,397,2,5,2,8.33496316839579,0.193358413304605,frobenius,True
contrast_band,contrast: beta1,,beta1,contrast,,5.0,,3.16227766016838,10.1116317373814,33.8159249472534,6.78523452094196,13.4380289538208,1,397,2,5,2,8.33496316839579,0.193358413304605,frobenius,True
contrast_band,contrast: beta2,,beta2,contrast,,6.0,,3.16227766016838,-7.91730325130588,40.6991843816051,-11.9207913667277,-3.91381513588403,1,397,2,5,2,8.33496316839579,0.193358413304605,frobenius,True
shared_roi_group,shared: posterior,posterior,,shared,,,,4.89897948556636,0.906722426981,5.8684952677314,0.329451618812401,1.4839932351496,1,397,2,5,2,8.33496316839579,0.193358413304605,frobenius,True
contrast_band,contrast: gamma1,,gamma1,contrast,,7.0,,3.16227766016838,-19.3913145978325,49.7247246541241,-24.2826250066324,-14.5000041890327,1,397,2,5,2,8.33496316839579,0.193358413304605,frobenius,True
contrast_band,contrast: gamma2,,gamma2,contrast,,8.0,,3.16227766016838,19.7171546279287,49.8060703509831,14.8178424241159,24.6164668317415,1,397,2,5,2,8.33496316839579,0.193358413304605,frobenius,True
