loading_type,loading_label,roi_name,band_name,condition_name,roi_index,band_index,condition_index,fro_norm,delta_hat,sdest,ci_low,ci_high,excludes_zero,N,rank1,rank2,rank3,cv_mean_val_mse,cv_mean_val_r2,loading_normalization,excludes_zero_bool
roi_slice,ROI slice: anterior_midline,anterior_midline,,,1.0,,,4.0,-0.595012809055886,10.3517728194369,-1.61329364406185,0.423268025950077,0,397,2,5,2,8.33496316839579,0.193358413304605,frobenius,False
roi_slice,ROI slice: frontal_left,frontal_left,,,2.0,,,4.0,0.819653566489172,9.75084026922691,-0.139514872052573,1.77882200503092,0,397,2,5,2,8.33496316839579,0.193358413304605,frobenius,False
roi_slice,ROI slice: frontal_right,frontal_right,,,3.0,,,4.0,0.0986656246806961,4.11963767706176,-0.306573957648997,0.503905207010389,0,397,2,5,2,8.33496316839579,0.193358413304605,frobenius,False
roi_slice,ROI slice: central_left,central_left,,,4.0,,,4.0,-0.610661464551927,4.23414323330648,-1.02716470340302,-0.194158225700835,1,397,2,5,2,8.33496316839579,0.193358413304605,frobenius,True
roi_slice,ROI slice: central_right,central_right,,,5.0,,,4.0,-0.173775923228043,5.39578294522448,-0.704547073137513,0.356995226681427,0,397,2,5,2,8.33496316839579,0.193358413304605,frobenius,False
roi_slice,ROI slice: temporal_left,temporal_left,,,6.0,,,4.0,0.229777374811141,7.51462472882874,-0.509419521904028,0.968974271526311,0,397,2,5,2,8.33496316839579,0.193358413304605,frobenius,False
roi_slice,ROI slice: temporal_right,temporal_right,,,7.0,,,4.0,0.0151949973441858,17.7385322691758,-1.72970491167634,1.76009490636471,0,397,2,5,2,8.33496316839579,0.193358413304605,frobenius,False
roi_slice,ROI slice: posterior_left,posterior_left,,,8.0,,,4.0,-1.68791667169098,41.8720643556009,-5.80677837771555,2.4309450343336,0,397,2,5,2,8.33496316839579,0.193358413304605,frobenius,False
roi_slice,ROI slice: posterior_midline,posterior_midline,,,9.0,,,4.0,-0.292533365294949,5.54760453833268,-0.838238867155409,0.25317213656551,0,397,2,5,2,8.33496316839579,0.193358413304605,frobenius,False
roi_slice,ROI slice: posterior_right,posterior_right,,,10.0,,,4.0,0.336500287882046,5.28012776194855,-0.182894119255611,0.855894695019703,0,397,2,5,2,8.33496316839579,0.193358413304605,frobenius,False
band_slice,Band slice: delta,,delta,,,1.0,,4.47213595499958,0.258462281652403,4.93202378981918,-0.226689913103697,0.743614476408503,0,397,2,5,2,8.33496316839579,0.193358413304605,frobenius,False
band_slice,Band slice: theta,,theta,,,2.0,,4.47213595499958,-1.67062558564035,6.46796185146638,-2.30686458641627,-1.03438658486443,1,397,2,5,2,8.33496316839579,0.193358413304605,frobenius,True
